song_id,artist_individ,artist_name,track_name,artist_count,collab_artist,relationship,artist_x,artist_y,circle_y,streams
52,24kgoldn,"24kgoldn, Iann Dior",Mood (feat. Iann Dior),2,24kgoldn,24kgoldn-24kgoldn,-955,-984,-984,1699402402
52,24kgoldn,"24kgoldn, Iann Dior",Mood (feat. Iann Dior),2,Iann Dior,24kgoldn-Iann Dior,-955,-984,-984,1699402402
118,50 Cent,50 Cent,In Da Club,1,50 Cent,50 Cent-50 Cent,590,979,979,1202722675
74,Adele,Adele,Rolling in the Deep,1,Adele,Adele-Adele,-630,-338,-338,1472799873
85,Adele,Adele,Easy On Me,1,Adele,Adele-Adele,-630,-338,-338,1406111294
124,Adele,Adele,Set Fire to the Rain,1,Adele,Adele-Adele,-630,-338,-338,1163620694
86,Alec Benjamin,Alec Benjamin,Let Me Down Slowly,1,Alec Benjamin,Alec Benjamin-Alec Benjamin,312,217,217,1374581173
135,Anderson .Paak,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,3,Bruno Mars,Anderson .Paak-Bruno Mars,-767,-53,-53,1115880852
135,Anderson .Paak,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,3,Anderson .Paak,Anderson .Paak-Anderson .Paak,-767,-53,-53,1115880852
135,Anderson .Paak,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,3,Silk Sonic,Anderson .Paak-Silk Sonic,-767,-53,-53,1115880852
111,Arcane,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Imagine Dragons,Arcane-Imagine Dragons,369,300,300,1223481149
111,Arcane,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,League of Legends,Arcane-League of Legends,369,300,300,1223481149
111,Arcane,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,JID,Arcane-JID,369,300,300,1223481149
111,Arcane,"Imagine Dragons, League of Legends, JID, Arcane",Enemy (with JID) - from the series Arcane League of Legends,4,Arcane,Arcane-Arcane,369,300,300,1223481149
112,Arcane,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,Imagine Dragons,Arcane-Imagine Dragons,369,300,300,1223481149
112,Arcane,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,League of Legends,Arcane-League of Legends,369,300,300,1223481149
112,Arcane,"Imagine Dragons, League of Legends, Arcane",Enemy - from the series Arcane League of Legends,3,Arcane,Arcane-Arcane,369,300,300,1223481149
46,Arctic Monkeys,Arctic Monkeys,Do I Wanna Know?,1,Arctic Monkeys,Arctic Monkeys-Arctic Monkeys,-610,-520,-520,1788326445
98,Arctic Monkeys,Arctic Monkeys,I Wanna Be Yours,1,Arctic Monkeys,Arctic Monkeys-Arctic Monkeys,-610,-520,-520,1297026226
102,Arctic Monkeys,Arctic Monkeys,"Why'd You Only Call Me When You're High?",1,Arctic Monkeys,Arctic Monkeys-Arctic Monkeys,-610,-520,-520,1267333350
114,Arctic Monkeys,Arctic Monkeys,505,1,Arctic Monkeys,Arctic Monkeys-Arctic Monkeys,-610,-520,-520,1217120710
106,Ariana Grande,Ariana Grande,positions,1,Ariana Grande,Ariana Grande-Ariana Grande,-693,-39,-39,1252563873
113,Ariana Grande,"Ariana Grande, The Weeknd",Save Your Tears (with Ariana Grande) (Remix),2,Ariana Grande,Ariana Grande-Ariana Grande,-693,-39,-39,1221813483
113,Ariana Grande,"Ariana Grande, The Weeknd",Save Your Tears (with Ariana Grande) (Remix),2,The Weeknd,Ariana Grande-The Weeknd,-693,-39,-39,1221813483
32,Avicii,Avicii,Wake Me Up - Radio Edit,1,Avicii,Avicii-Avicii,-266,-391,-391,1970673297
76,Avicii,Avicii,The Nights,1,Avicii,Avicii-Avicii,-266,-391,-391,1456081449
54,BTS,BTS,Dynamite,1,BTS,BTS-BTS,453,-830,-830,1692897992
128,BTS,BTS,Butter,1,BTS,BTS-BTS,453,-830,-830,1143647827
141,BTS,"Halsey, BTS",Boy With Luv (feat. Halsey),2,Halsey,BTS-Halsey,453,-830,-830,1065580332
141,BTS,"Halsey, BTS",Boy With Luv (feat. Halsey),2,BTS,BTS-BTS,453,-830,-830,1065580332
144,BTS,"Coldplay, BTS",My Universe,2,Coldplay,BTS-Coldplay,453,-830,-830,1061966512
144,BTS,"Coldplay, BTS",My Universe,2,BTS,BTS-BTS,453,-830,-830,1061966512
